headline,word1,word2,joke
素食者吃蔬菜，人道主义者该做什么？,吃,蔬菜,如果素食者只吃蔬菜，那么人道主义者呢？
丈夫反向夸妻：最最最爱惹哭,夸,最爱,妻子：亲爱的，请告诉我，我是你的最爱吗？ 丈夫：不，亲爱的！你是我的最最最爱。
纳税人无需公务员考试,不必,公务员,纳税人是指不必通过公务员考试为政府工作的人。
夏天群SB北飞奇观,往北,SB,夏天来了，天气热了，一群SB往北飞，一会儿排成个S字，一会儿排成个B字。
学生用体香解释烟味引笑,解释,体香,老师问我：“那你身上怎么会有烟味？” 我想了想，答曰：“体香。
饭店搭讪引误会，女生点头成焦点,搭讪,点头,今天在饭店见证了邻桌姑娘被搭讪的全程。 一个帅气的男生对她说了两句话，第一句是：你一个人吗？ 姑娘矜持地点点头，男生接着说：一个人吃这么多呀？
表姐早高峰被误称‘婊子’引发网络热议,说,婊子,今天早上上班的时候看见了表姐，于是上前和她打招呼。 本来想说：这么早干嘛去啊！表姐！没想到张嘴变成了这么早干嘛去啊！婊子！
丈夫夜玩牌被妻警告带牌友过夜,带,牌友,张三天天玩牌，常常夜不归宿。 他老婆不高兴地抱怨说：“如果你再这样的话，我就要把男人带回家过夜。” “随便你啦！不过你得注意，不能拉我的牌友。”
学生用‘糖’字造句被老师追问,喝,牛奶,老师：灵灵同学请你用‘糖’字造一个句子。 灵灵：我在喝牛奶。 老师：糖呢？ 灵灵：在牛奶里啊！
快乐买不到？购物新发现,买,快乐,那些说你买不到快乐的人不知道在哪里购物。
投胎需谨慎引发热议,投,胎,中国有风险，投胎须谨慎。
男人弃猪后猪竟接电话引误会,弃,猪,一男养一猪，烦，弃之。然其猪知家之归路，数弃未果。庶日，男驾车弃猪，当晚致电其妻曰：猪归否？妻曰：归矣！男吼道：让它接电话，我迷路了！
邓小平访苏调侃赫鲁晓夫秃头,看着,秃头,邓小平到苏联访问。 赫鲁晓夫握着邓小平的手看着邓小平说：“小平同志，你是亚洲巨人啊！”。 邓小平看着赫鲁晓夫的秃头说：“赫鲁晓夫同志，你是欧洲的一盏明灯吧！”
病人牙医诊所算钱包余额,掏,钱包,病人进牙医诊所开始猛掏腰包。 牙医：“你不用先付钱。” 病人：“我不是要先付钱，而是想在你给我麻醉前，算清我钱包里有多少钱。”
黑暗中牵手，光明中变男人,牵,手,在黑暗中我牵着你的手，因为在光明中你看起来像个男人。
死亡不会恶化，税收却年年上涨,恶化,死亡,死亡和税收是不可避免的，但至少每年死亡都不会恶化。
学生用考试梗回应老师北极提问,背,大题,老师：“人类征服北极对我们有什么意义？” 学生：“意味着我们又要多背一道大题。”
钱翻倍新法：折叠放回口袋,折叠,口袋,把钱翻倍的最快方法就是折叠并把它放回口袋里。
速度与迟钝的惊人对比,变得,疯子,你有没有注意到......任何一个比你变得迟钝的人都是白痴。任何人走得更快都是疯子。
为钱失德：男女面对金钱的底线差异,失信,失身,男人为钱常常失信，女人为钱往往失身。
票据传递速度超支票,通过,票据,票据以两倍于支票的速度通过邮件。
老师穿短T恤被学生提醒站直,站直,T恤,一日，夏天，老师穿一矮领T恤站于讲台，双手撑在桌上观看学生做作业。 忽然收到一张学生传过来的纸条：站直了~小心走光！
男子自称从威尼斯获得百叶窗,获得,百叶窗,我并不是说要成为一个势利小人，而是直接从威尼斯获得威尼斯百叶窗。
语文课上学生用深圳铁板烧对联惹笑,对出,铁板,语文课上，老师出‍了个上联“烟锁池塘柳”，要求我们对出的下联必须含有金木水火土的偏旁。 同桌流着口水站起来对了下联：“深圳铁板烧。”
父母担忧孩子网上传播内容,下载,上传,现在父母们都非常担心两件事情： 儿子从网上下载了什么， 还有女儿上传了什么到网上！！！
和平会议因冲突取消,取消,会议,由于冲突，原定于今天举行的建立和平会议已经取消。
邻居借录音机却只想安静睡觉,借,录音机,邻居甲：“借你家录音机用用。” 邻居乙：“好的，原来你也喜欢欣赏音乐呀”。 邻居甲：“不是，我只想安静的睡一宿”
演员被姑娘问坐哪位置,认识,位置,有个著名演员同一个姑娘聊天。 “你不认识我吗？”演员问。 姑娘摇头。 “常进电影院的人都认识我。” 姑娘眼睛一亮：“你都坐在什么位置？”
纽约图书馆公民验证引发荒诞事件,刺伤,卡片,纽约这样一个美好的城市。虽然我今天在图书馆。这些家伙很粗鲁。我说，“我想要一张卡片。” 他说，“你必须证明你是纽约的公民。” 所以我刺伤了他。
儿子辩解酒味源于衣服,偷喝,酒味,妈妈：你今天又偷喝了爸爸的酒了吧？ 东尼：没有呀？ 妈妈：那为什么衣服上有酒味？ 东尼：不可能，我喝酒时一点也没有洒在衣服上。
孩子算术被教师误读为爪子,摇,爪子,小乖乖，告诉爸爸，三加二等于多少？父亲问儿子。 站在一旁的家庭教师连忙伸出五个指头向孩子摇了摇，说：你看，这是什么？ 是爪子！
医院因科室混合停橙汁,混合,橙汁,由于泌尿科的混合，今天早上将不提供橙汁。
学生求老师背诵课文,求着,背诵,看到要求背诵全文后的小明求着老师让他背诵全文。
