headline,word1,word2,joke,label
变速箱难升档,难以,高速档,变速箱不会进入高速档，有时难以摆脱低档。,0
用户永不失望获赞誉,称赞,用户,被称赞的是最终用户什么都不期待，因为他/她永远不会失望。,0
松鼠劫掠梦想引发热议,梦想,松鼠,有时候我梦想被一只巨大的松鼠劫掠。,0
百米赛后老太太惊呼：吓死人！,吓死,跑呀,一老太太看完黑人百米赛后，抹着眼泪说：吓死人！几个挖煤的跪成一排被枪毙，没瞄准就开了枪，娃儿们吓得那个跑呀，绳子都拦不住哇！！,1
病人自愈医生迟到被吐槽,好转,病人的,家人：医生，你来迟了一步！ 医生：怎么，病人死了吗？ 家人：病人的病自己好转起来了。,1
心里想妈的，嘴上说好的,想,好的,心里想的是“妈的”嘴上说的是“好的”。,1
思想被新想法拉伸后无法恢复原有维度,拉伸,维度,曾经被新想法所拉伸的思想永远不会重新获得原有的维度。,0
小孩用玩具钱讽喻玩具飞机真假,买,飞机,小孩带着玩具纸币进了玩具店，要买一架玩具飞机。伙计对他说他的钱不是真的。 小孩回答：难道你的飞机就是真的？,1
工作压力需缓解,缓解,压力,工作上的麻烦？需要一些缓解？去吧！,0
外表与内在的错位真相,看上去,坏人,看上去很好的人可能很坏，但看上去很坏的人可能只是蠢而已。,1
智力远超武器,超越,武器,你出众的智力与无用的武器无法匹敌！,0
微波炉壁炉亮相，8分钟度过夜晚,度过,微波炉,我买了一个微波炉壁炉。您可以在8分钟内在其前面度过整个晚上。,0
下班路上吐槽公交队伍异常粗壮,嘀咕,队伍,小李下班回家，远远的向公交车站望去，庆幸今天的队伍不是很长，但走近一看。却嘀咕：怎么这么粗呀！,1
孕妇被误送减肥传单,塞给,传单,怀孕有五个月了。 今天穿的比较肥大，和一帮朋友在路上走， 一个发传单的男孩穿过朋友们径直走到我跟前， 塞给我一张传单，我展开一看：减肥训练营！,1
老鼠获赠新旱冰鞋,配,旱冰鞋,主说，不再说，每只老鼠都配上漂亮的新旱冰鞋。,0
草原上风吹草低现牛羊屎,见,牛羊屎,天苍苍野茫茫，风吹草低见牛羊屎！,1
学生吐槽苹果虫子只剩半条,发现,虫子,老师：难道还有什么事情比我们咬开一个苹果时，发现里面有一条虫子更糟糕的 吗？ 学生：有，发现虫子只剩下半条了。,1
旧色情片被指涉及敏感内容,带,电影,旧的是你带回家的色情电影是“黛比透析”。,0
人们比死亡更怕蜘蛛,害怕,蜘蛛,平均而言，人们害怕蜘蛛比死亡更多。,1
生活缺少你如同破碎铅笔,缺少,铅笔,没有你的生活就像一支破碎的铅笔......毫无意义。,0
硫酸兑糖饮用被称生活小常识,兑,糖,生活小常识：硫酸因为酸性太强不能直接喝，食用时兑糖即可。,1
有人询问五角大楼绝密文件使用方法,询问,文件,询问你旁边的人是否知道如何利用绝密的五角大楼文件。,0
母亲向男友索彩礼引女儿质疑,要,钱,女儿发现妈妈向她的男朋友要彩礼，觉得很不理解，就问：妈妈，我们还在恋爱，为什么先要人家这么多钱呢？ 傻姑娘，你到百货公司买东西，不先付钱行吗？,1
老友失望日,让,日子,这是让一些需要帮助的老朋友失望的好日子。,1
时间沙滩上留下印记需穿工作鞋,留下,印记,如果你计划在时间的沙滩上留下你的印记，你最好穿上工作鞋。,1
晨间查富榜，缺名就上班,看,排行榜,每天早上起床都要看一遍“福布斯”富翁排行榜，如果上面没有我的名字，我就去上班。,1
存款人拖累银行倒闭,存入,存款,银行倒闭是由存款人造成的，他们没有存入足够的资金来弥补因管理不善造成的损失。,1
被指控前勿求赦免,要求,赦免,在你被指控之前，不要要求赦免。,0
他们不断改进技术,变得,技术,我让它变得万无一失，但他们正在变得更好。,0
人们恐惧自己却向往无畏,害怕,恐惧,恐惧症恐惧症：害怕我们无所畏惧但害怕自己。,0
香港警察督察月薪揭秘：早餐茶歇火锅不断,请,早餐,我很好奇，香港警察一个督察的工资能有多少？ 为什么他能每天早上请整组人早餐，下午请整组人喝茶，晚上请整组人吃火锅…… 多年来看TVB的困惑啊！,1
长途旅行常遇机械故障,开始,轮胎,1000公里的旅程总是以破碎的风扇皮带和漏水的轮胎开始。,1
网友调侃：随便起来不是人,随便,人,我不是个随便的人我随便起来不是人。,1
得奖公牛被逼耕田引热议,套上,公牛,农夫向他的邻居解释为什么他要将那个得奖的公牛套上犁，要它耕田：“我要它明白，生活中除了配种，还有别的。”,1
单车变摩托引热议,搏一搏,单车,搏一搏，单车变摩托。,1
学生捡烟被校长点头后误以为给钱,点头,烟,一天，放学，小明在学校门口捡到一包芙蓉王烟，小明把它交到学校校长手里边，校长拿着烟，对小明点了头，小明高兴地说：“校长给钱。”,1
夫妻对决废物利用新观念,懂得,废物,丈夫：你怎么一点也不懂废物利用？ 妻：因为很懂得，所以嫁给你。,1
学生幻想猴毛换人生,想要,猴毛,老师：大家看过西游记后有何感想？ 小东：我特别希望能拥有孙悟空的一身猴毛。 老师：为什么？ 小东：想要房子有房子，想要美女有美女，多潇洒啊！,1
中国母亲喂婴竟用牙签？,喂养,牙签,我想到了母亲们如何用小小的勺子和叉子喂养婴儿，所以我想知道中国母亲会用什么？牙签？,1
朋友敲窗却搬楼失联,敲窗,10楼,昨夜上网，朋友突然来敲我家窗户叫我出去玩~！正准备开窗说不去， 才突然想起自己搬家了，从1楼搬到10楼~~那是谁啊？？,1
邮票总价值约33美分,得知,邮票,据他们所知，邮票总价值约为33美分。,0
父亲带孩子上学,带,学校,你爸爸带你去学校，因为你们都在同一年级。,0
饮酒小镇航行遇问题,航行,小镇,安纳波利斯 - 一个有航行问题的饮酒小镇。,0
班长喝醉爬行称扶墙安全,扶着,墙,一次，我们班委出去喝酒，班长喝醉了，他在地上爬着回学校，于是我们上前去扶他，没想到，他却说：“不用担心我，我是扶着墙走的，很安全。”,1
老人误解公交站显示板含义,站,停,阿婆：每次车子靠站时，在司机上方的显示板就会显示车停站一下，所以我在每次车子靠站时就要站一下啊！小明：拜托！阿婆是下一站停车，不是车停站一下。,1
异教徒崇拜行走之路,崇拜,地面,异教徒朋友最棒的是什么？他们崇拜你走过的地面......,0
心胸如海才能成就伟大事业,有,事业,如果心胸不似海，又怎能有海一样的事业。,1
乡巴佬炫耀老婆睡衣引发误会,炫耀,睡衣,美女：“有什么好看的，没看过是吗，乡巴佬。” 他答道：“看过，没什么嘛，我老婆也有一套你这样的睡衣。”,1
乡下妇人误打电话遭嘲讽,接,丈夫,有一个乡下妇人，第一次入城在城中打电话，对接线生说：给我接我的丈夫，我要跟他说话。 接线生：你丈夫多少号码？妇人大骂：我哪有那么多丈夫编成号码？？,1
普通话变方言引同事调侃,说起,方言,一位老家的亲戚来城里，下火车后给我打了个电话，平时我说普通话，接这个电话时我说起了家乡话，这时一同事笑道：这中央台换地方台了！,1
网友调侃淡定背后的恐惧逻辑,怕,死,你淡定是因为你不怕死，我比你淡定是因为我不怕你死。,1
邻居打麻将引发夫妻赌局传闻,打,麻将,老婆，我听见隔壁家又在打麻将呢！ 她们上次把你赢得那么惨，想不想捞回来？ 给你零钱，好好打，等你好消息啊！,1
学习许可被误读为杀人许可,学习,许可,不，我没有杀人许可......这只是学习许可。,0
夫妻睡觉时说话引发倾听新奇现象,倾听,睡梦,如果你希望你的配偶倾听并严格关注你说的每一个字，请在睡梦中说话。,1
好人标准引发导游争议,对,导游,一个对你好，但对导游不好的人不是一个好人。,1
丈夫炒土豆丝被老婆夸赞,炒,土豆丝,今天给老婆炒个土豆丝卖个乖，老婆果然夸我了，说“这土豆炒的，丝是丝，条是条，块是块的。”,1
生活充满坚果惊喜,充满,坚果,生活就像一盒巧克力......充满了坚果！,1
他们将再次被邀请,邀请,福,他们将再次被邀请，这是有福的。,0
婚前老兄现被制服,被制服,老兄,我结婚前还是个老兄。现在我被制服了。,0
男人对女人不好将下辈子做卫生巾,做,卫生巾,传闻对女人不好的男人下辈子会做卫生巾。,1
凶手用夸奖致妻子心梗死亡,夸奖,肥胖,“那么，凶手是如何让妻子死于过度肥胖引起的心肌梗塞的？”法医问探长。 “很简单，”探长说，“凶手对受害者说，我觉得你吃东西的样子特别可爱。”,1
经理飞机上承诺嫁人反被嘲空话,承诺,嫁人,经理追求女秘书。 亲爱的，你不是答应嫁给我吗？ 我在哪里说过这话？ 飞机上。 哦，那是空话。,1
妻子误抓惯偷真相曝光,抓住,惯偷,年轻太太抓住了一个让所有Pol.ice都束手无策的惯偷。 Pol.ice问她：“你那里来这么大勇气？” 太太说：“我以为是丈夫这么晚才回来呢！”,1
婴儿出生半年未说话引热议,惊讶,说话,当我出生时，我很惊讶我一年半没说话。,1
网友调侃恶政玩笑引热议,开,刑场,我开了无数恶政隐的玩笑才终于找到刑场在哪里。,1
情侣互许来世与永生,希望,永生,男：你在想什么？ 女：我希望来世还能和你在一起。 男：…… 女：你在想什么？ 男：我希望这一世能永生。,1
他活得太长引人厌倦,活,长,他活得很长，直到所有人都厌倦了。,1
大声吹喇叭者常遇大雾,吹,雾,最大声吹喇叭的人通常是最大的雾。,0
送礼前必探路，社交礼仪新趋势,探,路,说话之前先看风，送礼之前先探路。,1
考生昨日已考却无人知晓,问,考试,问什么时候考试？ 甲唉，我还不知道呢。 乙好像还有几天吧？ 丙就明天考试。 丁大概是下个星期吧？ 答啊，你们昨天没有去考试吗？,1
网友调侃把对话扔油锅榨油,榨,油,我把你的话放到油锅里可以榨出油来！,1
医生手术被问罚薪，反称炒股赚四千,扣,奖金,某病员在上手术台前问医生：一旦手术失败，你会因此受罚吗？ 医生答：会扣我一月的奖金。不过别担心，我炒股刚赚了四千块！,1
直觉与嘴的冲突引发职场焦虑,说,直觉,压力：当你的直觉说不，而你的嘴说是。,1
一滴水的力量改变海洋,减少,海洋,我们自己觉得我们所做的只是海洋中的一滴水，但由于缺少水滴，海洋会减少。,0
误解终被珍惜,珍惜,误解,我将永远珍惜我对你的最初误解。,0
沙僧吐槽流沙河洗澡梦,跳担,洗澡,沙僧：这么个大热的天儿，跳担那儿活不是人干的，二师兄说散伙怎么没个准啊！这会儿要是在流沙河该多好，天天能洗澡。,1
丈夫称上网比用电更必要,停止,上网,妻子埋怨丈夫说：上个月上网费花了一百多元，比电费高出了几倍，我要你马上停止上网。 丈夫反对说：现在什么年代了，我就算不用电也要上网。,1
鲸鱼与游泳的奇妙相似,看起来,游泳,如果游泳对你有好处，为什么鲸鱼看起来像他们一样？,0
妻子家谱里亲戚仍在爬,看着,爬,我抬头看着我妻子的家谱。她的大多数亲戚仍在身边爬。,1
大脑手术被称小手术,认为,手术,我的大脑手术被认为是小手术。,1
了解前人人正常,了解,正常,在你了解它们之前，每个人都很正常。,1
夏天体重未变,变瘦,黑了,这个夏天你黑了，成熟了，思考了很多事，宅在家里或是四处漂泊，或许还遇见或失去了某个人——唯独，没有变瘦。,1
官僚难以看清明显需求,看不清,需求,官僚可能最终看不清楚; 完全明显需要永远。,0
情侣爱情对话引笑点,献出,纯洁,一对恋人紧紧地依偎在一起。男的说：“亲爱的，我要将纯洁的爱情全部献给你！” 女的听了一愣，说：“那些不纯洁的，你准备给哪个呢？”,1
女人不敢相信牧师告知的桌布获取方法,相信,桌布,当牧师告诉他如何拿到桌布时，女人几乎不敢相信。,0
麻雀吐槽鹦鹉只会说话不会思考,看着,鹦鹉,我敢打赌麻雀看着鹦鹉想，是的，你可以说话，但是要自己说话！,1
网友吐槽不骂人是种高级恭维,不想,恭维,我不骂你是因为我不想恭维你，知道不？,1
女孩争相做小腰精,争做,腰精,这年头，女孩们都在争做小“腰”精，谁还稀罕小“腹”婆啊！,1
他人视角引发头痛,看,方式,是的，但每当我试图按照你的方式看东西时，我都会头疼。,0
人人出生原创，却沦为盗版,变成,盗版,每个人出生的时候都是原创，可悲的是，很多人渐渐都成了盗版！,1
鹿群误认警察开枪吓退,打,枪,鹿群慢慢的向他走来，他得手心开始出汗，他闭上眼猛地从树林中跳了出来，向天空打了一枪，并喊到：都不许动，我是警察！,1
医生竟成继承人引热议,成为,继承人,不要让你的医生成为你的继承人。,1
锻炼被称肮脏词，网友用巧克力应对,洗掉,巧克力,锻炼是一个肮脏的词。每次听到它，我都会用巧克力洗掉嘴。,0
